grid_id,object_id,object_type,size,min_velocity,avg_velocity,max_velocity,x,y,color,cluster_id
402,612,20,1080,0.6172839506172839,1.0720757597355766,5.84837677392576,766,192,red,0
402,613,3,138,0.6944444444444444,3.7098816755649717,13.007744921495297,903,212,blue,0
402,616,20,1428,0.6756756756756757,3.638674175684678,14.344624697645795,920,192,red,0
402,619,20,1024,3.333333333333333,4.1698952610821785,5.643496038201952,886,189,red,0
402,622,100,351,0.009961210956610086,2.9696911834624853,11.304736525069242,732,202,green,0
402,624,20,40,0.6896551724137931,1.8074351351982516,5.975550263548287,786,136,red,0
402,630,20,936,0.6369426751592357,1.289040726474893,2.710940808619541,774,208,red,0
402,631,100,836,0.016225172384018247,1.2078983797902405,5.949822738956178,768,189,green,0
402,633,20,1767,0.6535947712418301,2.1574954989920774,9.909277221633154,936,180,red,0
402,636,100,72,0.037670283263461536,1.1179725133298923,1.9230769230769231,822,158,green,0
402,638,20,2146,0.6944444444444444,3.07764800594486,6.402461428675616,735,204,red,0
402,639,20,119,0.03758555985385082,1.3607840782380682,5.302281287447043,923,187,red,0
402,641,100,434,0.6172839506172839,1.3564994684830898,12.056339120450382,911,213,green,0
402,644,3,90,0.628930817610063,1.562563257313025,4.876598490941707,769,143,blue,0
402,652,100,216,0.14952022516621438,1.9844796174561965,5.32571545864609,944,181,green,0
402,654,100,3036,0.8130081300813009,2.636713062940146,5.748835619402826,764,196,green,0
402,655,100,84,0.013930341519994456,1.5022306364955431,8.343537229476826,790,137,green,0
402,660,3,56,0.08094933454784829,6.2836735307073255,11.785113019775794,911,228,blue,0
402,664,100,95,0.6756756756756757,2.003531622723896,3.2173639964025758,735,161,green,0
402,666,3,96,0.048455691117594936,1.7831930856819322,3.787878787878788,940,175,blue,0
402,667,100,288,0.6802721088435374,1.4301859477644414,4.8279048246845475,743,158,green,0
402,671,100,475,0.6097560975609756,1.4420724817296702,9.213208886868873,876,137,green,0
402,679,3,1122,0.10643828528795048,0.7538330570511945,1.681254118420895,728,203,blue,0
402,683,20,500,0.038414044046832393,3.194241796425696,33.45911994381216,942,168,red,0
402,684,100,105,0.14210892415462692,1.283006023836528,2.9629629629629632,892,164,green,0
402,688,100,228,0.6535947712418301,1.2641485566124735,3.333333333333333,741,162,green,0
402,692,3,217,0.14408016835214374,2.7602902759283667,8.666930145348022,809,223,blue,0
402,695,3,504,0.15383147153801088,2.314179356649532,8.63470517245384,927,225,blue,0
402,696,100,91,0.6097560975609756,1.4022118863331057,10.227015045197396,775,142,green,0
402,697,100,240,0.6493506493506493,1.8496422648878748,15.207947473407204,749,156,green,0
402,698,3,425,0.6451612903225806,2.3841999457698626,12.408759124087592,942,226,blue,0
402,699,100,160,0.6451612903225806,1.923319181037498,6.880257057681259,744,153,green,0
402,700,100,725,0.07674763272500322,3.3527905514700764,7.040284426907912,737,259,green,0
