,object_id,object_type,size,min_velocity,avg_velocity,max_velocity,x,y,cluster_id
0,133,100,2888,1.6086819982012877,4.632228087122324,6.756756756756758,341,326,0
1,156,100,741,2.3776523760664507,4.813266053031823,10.600329114150648,335,375,0
2,169,20,598,5.374838498865699,8.285381835724925,13.84939121241626,300,354,0
3,174,20,252,4.8275893097604925,5.942724535383171,8.469954460226477,365,348,0
4,232,100,456,4.573660169594891,6.441253921364631,9.21629914229892,377,363,0
5,237,100,451,4.9524557069935495,6.9532328374044585,9.53112060722167,363,348,0
6,256,100,308,3.031695312954162,4.5937828415280295,6.288461901484318,382,327,0
7,271,20,396,3.4722222222222223,4.676911055817956,5.858287004510699,380,331,0
8,308,100,1000,6.154395227708816,9.277805961098279,13.130909635725036,322,329,0
9,311,20,414,0.6993006993006993,3.5709781860157985,9.090286518293047,294,366,0
10,313,100,900,4.583011101693304,4.959951315588464,5.386379086832175,301,375,0
11,331,20,2268,1.5007167634226777,3.5658655752223334,6.4222589632180265,361,328,0
12,334,100,2280,1.9918500878494296,2.9521894411222767,4.142434467026542,330,362,0
13,336,20,1035,2.8240449490531923,7.107670803807845,11.391296658562498,383,328,0
14,338,100,203,6.24509319871546,7.2133376792064015,7.857142857142858,333,349,0
15,370,20,924,7.246376811594202,7.246376811594202,7.246376811594202,382,348,0
16,399,20,75,3.902293338503264,5.0640661208688655,6.25,288,352,0
17,417,20,425,5.374838498865699,8.384448794042394,10.52780960535026,293,330,0
18,458,20,442,7.9674003513977185,9.984365549577829,11.724137931034482,365,345,0
19,609,20,4902,22.41668387717913,22.41668387717913,22.41668387717913,309,327,1
20,612,20,1085,15.054618539740806,15.054618539740806,15.054618539740806,296,325,1
21,649,20,462,13.57742718083086,13.57742718083086,13.57742718083086,350,325,1
22,747,20,1634,3.6949416765165104,6.707790086032783,11.730810814280277,288,332,0
23,751,20,2655,3.4965034965034967,5.762758925898094,10.30059069300457,340,336,0
24,895,100,836,4.896499220802459,4.896499220802459,4.896499220802459,293,377,0
25,1297,100,1242,11.949324707895874,16.93197191610059,22.154374884672603,343,331,1
26,1445,20,220,6.568546157595353,11.757191337206063,19.747803973425835,331,369,0
27,1534,100,1066,3.052259487136176,3.052259487136176,3.052259487136176,290,377,0
28,1569,100,611,2.557128564158857,4.219740752667664,5.882352941176469,294,371,0
29,1571,100,110,2.7397260273972597,3.6029582446191837,4.1949294207520165,379,332,0
30,1618,100,56,2.521364528296496,3.6559609447119983,5.276916277511549,350,336,0
31,1648,100,320,3.4013605442176877,5.746060677146028,7.389883353033022,368,346,0
